vm_id,timestamp,cpu_usage,memory_usage,network_traffic,power_consumption,num_executed_instructions,execution_time,energy_efficiency,task_type,task_priority,task_status
c5215826-6237-4a33-9312-72c1df909881,1/25/2023 9:10,54.8813503927324,78.9508610180056,164.775972727365,287.808986094334,7527,69.3455750211608,0.553589013830412,network,medium,waiting
29690bc6-1f34-403b-b509-a1ecb1834fb8,1/26/2023 4:46,71.5189366372419,29.9018825886831,,362.273568819661,5348,41.3960396543102,0.349856212407303,io,high,completed
2e55abc3-5bad-46cb-b445-a577f5e9bf2a,1/13/2023 23:39,,92.7091951201496,203.674847115018,231.467902744439,5483,24.6025488847078,0.79627697356617,io,medium,completed
e672e32f-c134-4fbc-992b-34eb63bef6bf,2/9/2023 11:45,54.4883182996896,88.1009596279275,,195.639953765573,5876,16.4566698583806,0.529510782254065,compute,high,completed
f38b8b50-6926-4533-be4f-89ad11624071,6/14/2023 8:27,42.3654799338904,,,359.45153695723,3361,55.3079916150377,0.351907263519807,,medium,waiting
ad14d5d1-4e96-48ca-9893-1baaa47e4cab,2/6/2023 16:44,64.5894113066656,62.0080157271312,580.569836489088,115.931610485052,4766,63.1376714399951,,io,low,completed
5651505d-14a2-41d6-989b-eec0aac9b922,6/15/2023 18:04,43.7587211262692,22.4564292494115,429.139639609588,272.960416720378,9008,60.1539038179691,0.461246388232376,compute,high,completed
e5970e5c-0350-4131-bd6c-4bd7e2c98df1,,,85.4381547167524,685.282812752603,,,14.1913555283805,0.242538427525611,network,high,running
7fc95f4c-f561-4dd5-8465-aec2b388bd5b,5/20/2023 19:09,96.3662760501029,4.38844125509684,902.827716859084,367.979055928775,9984,21.8766937323896,,io,medium,running
7fd9a664-1da8-4ae9-8a04-3c341d32d35c,7/10/2023 11:32,38.3441518825777,16.4418814363051,779.791344572281,382.756696334277,2989,42.1608467204124,0.139187233118789,io,medium,running
ea8455b0-251c-4470-b7ea-8d40476e3434,1/14/2023 19:59,79.1725038082664,2.97225229187213,926.374029707024,173.559325351124,8644,55.7026725849955,0.779498827027312,compute,medium,completed
eb9c26c6-d99f-40a4-8640-7631ad451034,,,20.0765780897026,941.069385353494,435.013773723563,5185,66.3798927778737,0.700144663805379,,medium,completed
0ddae1eb-86c9-4448-b1b8-e7be96875ad8,4/11/2023 22:45,56.8044561093932,2.35562616948413,722.552146008766,143.340399222877,9788,79.7007563065147,0.944387474733026,io,medium,waiting
196e5fec-ae85-4b5c-a2ca-7f34cdfd00b6,4/20/2023 6:07,92.5596638292661,,34.3785390963233,433.958847963256,886,54.1311861059694,0.204644265712125,network,,waiting
bb9d0b5b-c787-4138-ac46-4e250c802e75,4/22/2023 16:00,7.10360581978869,96.5166385175927,919.172169900826,275.629911555307,9117,39.9676253639808,0.854724947246779,io,low,running
194210b1-4e68-4019-a292-5d07111e7354,3/7/2023 1:40,,44.4041124508764,664.685650465371,245.004247170398,7358,86.6805105196674,0.860580675854195,io,medium,waiting
3b85d1e1-4734-4d95-a96c-3c81584efae2,2/7/2023 19:00,2.02183974403257,89.3369023596935,208.41927362008,199.258507559643,1224,61.8501351320329,0.697445191809253,compute,high,completed
,6/28/2023 6:55,83.2619845547938,41.7161907668863,493.149007485925,103.741906963975,3187,5.67762855542681,,compute,high,
00a10e10-fe7d-4d97-a6b2-06c051763611,4/12/2023 5:05,77.815675094985,,887.444503867691,,2010,32.8246071432749,0.57829051321784,io,low,
fd28310b-be6f-4320-a664-de02274993d9,1/18/2023 11:22,87.0012148246819,46.6201759338407,437.18811505607,77.0547015918017,9427,,0.20716434543712,,low,waiting
f65e1c9b-2b40-4f50-a80c-4ce40d60ce70,6/18/2023 16:06,97.8618342232764,70.7120006288336,,264.723329335835,3345,89.0099424781888,0.482367481156362,io,low,waiting
5da32ae8-bd9c-4e95-840a-35498ef2d567,2/7/2023 17:21,79.9158564216723,76.1032367863099,,361.656723104587,9825,52.1870293883121,0.520830533571243,,medium,running
8ca4165d-f6c3-44e7-9045-b28e6534a114,2/1/2023 7:27,46.1479362252931,,88.5736790195996,348.359674354097,1912,58.1018650717824,0.423848709818218,io,low,running
74d08dd7-5b8c-4111-a6e3-d1566434c4af,5/13/2023 18:43,78.0529176286455,75.0869323956801,387.449283950771,288.465804801187,9174,50.0072916757892,,compute,low,waiting
ee09578f-c27d-4e85-b3ee-323a0d7a0eff,7/19/2023 4:48,11.8274425868933,17.4946850982812,433.681205504817,214.912096203755,1147,12.5903073269448,0.107757509017053,compute,medium,running
d95eef15-c3a1-4120-b660-2c3bbbc5765e,2/25/2023 5:22,63.9921021327523,87.7100766637055,940.262302817482,,6643,,0.16633198780192,compute,low,running
b07941d5-3eb8-42dc-a03b-4fb81dbcb4c0,7/9/2023 22:40,14.3353287409046,4.48178936081187,296.772121120674,386.128953971964,,5.85993936657527,0.633418682118937,network,high,completed
,6/12/2023 6:58,94.4668917049583,20.3088205364384,,481.358707765789,8688,,0.723851132212599,,high,waiting
40f62f6f-14c3-425b-8503-241e4f4ed0a7,2/7/2023 11:24,52.1848321750071,19.4474704116617,261.156762500853,174.783506757435,3686,,0.454299915122998,,low,completed
ce27f2d1-6a11-4ed8-890f-6db13637840a,5/14/2023 0:42,41.4661939990523,74.7706013434456,757.368681181976,96.0112669079213,1183,77.1909432711552,0.42429915666172,compute,medium,completed
decfa72d-f359-4731-8b45-8db3f2c4ea24,6/2/2023 16:21,26.4555612104626,64.2084944830524,854.933834369754,,7875,72.4478775870891,0.150365377574592,,,running
,6/30/2023 9:15,77.4233689434216,29.3948599823132,,355.561057687476,1968,88.5549711935163,0.4695748463794,io,high,running
a9d7b49c-6398-43d3-a5b5-160d28dde606,4/16/2023 21:57,45.6150332216548,79.5072012686531,335.800733643904,132.91197797823,925,,0.754865418765436,network,low,completed
2abdee1d-e1bd-4c5f-b1cd-19d80c964336,6/11/2023 7:40,56.8433948868648,5.34618103411298,210.224506318145,351.997020441606,,1.39170105683856,0.205415931905879,compute,low,waiting
204295cf-acff-40a7-8243-b91d6e94c4f7,7/2/2023 21:46,1.87898004363551,2.3962526992481,781.462951847502,173.575599924094,23,69.9322518937463,0.828468558951507,io,high,
ff42db1e-e00e-4885-a40f-7fa35e60b978,3/14/2023 22:02,61.7635497075877,0.0230147431370619,,312.676193279692,1726,,0.999609230817374,compute,low,running
5dc06d9c-ba69-4c7c-a8cd-a967a7f8fad5,2/3/2023 20:57,61.2095722722421,1.06183347050249,695.778957418883,397.559225352002,781,12.3470016168531,0.849074290866653,,medium,
d8556493-5092-46ea-9477-fb7a722b215e,1/15/2023 6:40,61.6933996874756,0.66501864895252,686.374705758302,154.891171584551,6006,99.5420585993363,0.992291092878323,compute,medium,completed
27267259-e40f-4e64-9e6e-d2563c5f198d,2/12/2023 20:43,94.3748078514624,64.7223267316348,662.429335329789,,7136,45.7356378578752,0.500175080418254,io,high,running
,5/31/2023 21:01,68.1820299103483,1.76357830748474,710.741119649114,,7724,81.3674017819814,0.713104719203422,compute,low,running
e4261896-dec0-47c3-8920-98a92656daa5,7/17/2023 4:41,35.9507900573786,72.9809813207389,350.514589840613,132.659623501685,430,76.3252444198981,0.0038913973038791,network,high,waiting
6f8b5688-ac95-4369-b552-6938fe3c2baa,1/24/2023 15:43,43.7031953799341,28.1182196071134,,448.020526749669,4628,81.3368978731872,0.540977174640092,io,,running
3d2ba611-df79-40b3-bc20-63a3796de7fd,5/9/2023 5:47,69.7631195927264,96.0885192820304,602.34778873446,161.705465814593,6670,27.5671429435063,0.24960408218665,network,,running
3a233eb2-f875-4805-a41e-6a512c52a180,7/11/2023 23:55,6.02254716292698,33.0358542631499,719.795358835367,434.588930652971,4976,28.9907803695591,0.791067520663696,io,high,waiting
80b073e5-914b-4e56-a285-1b68625fcf2a,3/21/2023 5:25,,,182.952255272744,333.557297128388,5413,74.546707671405,,io,low,completed
aaa03097-d35c-44cc-af28-08ac4a8ac005,1/15/2023 21:12,67.0637869618159,56.2008045546561,856.372924100955,300.81633849744,3925,1.62504603565213,0.979356085154904,io,high,running
b4ec0e1a-40a5-4386-a503-d9ff61a4437d,4/15/2023 2:16,21.038256107384,5.63418546995395,,485.492341005841,8689,18.7964070417097,0.873678816927305,compute,medium,running
6b6d4ad7-615b-4aeb-be4e-002fb053850e,1/21/2023 13:38,12.8926297654853,,906.808046125622,330.207842363527,6940,14.1724312001391,0.123155471489984,io,low,completed
79c822ff-ec1a-4001-9cc5-08e58737aa26,3/17/2023 7:05,31.5428350924183,39.3017369022957,,432.085538107755,5137,48.0376351738375,0.216197675975002,compute,low,running
72409b20-fe74-418b-b8d2-a473df503c62,5/9/2023 14:21,36.3710770942622,21.9557439250931,765.108540457653,300.068718360881,6822,44.7084307976955,0.690077844648332,compute,high,completed
33beaac9-d548-4152-bd0e-2603655424f9,4/21/2023 19:33,57.0196770417879,57.293148018983,671.67067217436,499.401052156727,3089,67.0147855843173,0.255882595974056,network,medium,running
a0d91a20-21a7-484a-9516-b72c71061fe0,2/23/2023 23:54,43.860151346232,16.9278148756837,469.175920223112,224.578833903508,8115,28.1818300436371,0.107667307608381,compute,low,running
8af1cedc-5a93-43eb-926a-a32c9855268c,4/18/2023 15:50,98.8373838059226,26.8820771807394,,239.701658267558,3789,45.5959918602336,,network,low,
,2/14/2023 7:41,,80.2642013718606,622.700411746108,37.7140850936135,2802,26.5427634914351,0.762655929802001,network,high,running
022cd9e9-cd46-461c-a659-a8a0043a586e,6/14/2023 15:49,20.8876756094834,6.74320645950787,699.700684170913,105.091582803752,1385,,,,,running
12c872cb-3959-4f4b-89b5-d1d421c8769a,6/10/2023 8:18,16.1309517884996,45.5636193178441,,398.952533236143,1958,64.4492818055102,0.525771525788168,compute,high,waiting
127b1d54-60ef-490c-814c-b2996b3cc235,6/16/2023 17:04,65.3108325465398,0.88299882902284,912.627375529143,53.0878144985361,9725,57.7739950643918,,,,running
cc43e4a9-7a71-4497-a645-ae8a4b45be7a,4/19/2023 18:59,25.3291602539782,87.8092931795004,,21.5202802809293,8986,65.7492874010357,0.733072912552116,network,high,completed
4803eac8-d8d9-4f69-a2ca-b689588e1df2,2/27/2023 1:47,46.6310772856306,20.3541945496352,779.889292713402,337.053374997328,8316,,0.0800513256776108,io,medium,running
,3/4/2023 11:48,24.4425592001602,87.3323952749667,799.235766684681,243.400507765334,2092,,0.623128376979273,network,high,waiting
86edc6a9-d216-4d74-97f5-1a065979aa72,3/1/2023 14:49,15.8969583645519,93.5362022815759,964.316494915524,,3584,6.1688509948916,0.116847519116016,compute,medium,completed
a010826e-6ad5-4008-9d79-379f813e60e1,4/7/2023 5:58,11.0375141164305,9.40685879833868,817.497247278761,202.262107497469,9769,,0.250579461588504,network,medium,completed
f264b71d-eda2-4d59-a28b-405572e84ddd,4/1/2023 11:05,,98.5045316216175,,11.4325833077385,,18.3489984163821,,network,high,completed
79412622-4f87-4c39-96a9-5d2f8e52ebaf,,13.8182951348613,1.96471359700667,107.480324068016,172.936115956569,2269,4.47441227152124,0.601729698826774,io,low,waiting
99b8881f-eb7a-4e0a-87fe-51c1f33bddb0,4/2/2023 16:31,19.6582361680053,41.5633518977767,412.818514508485,200.453321587701,6196,77.5007069996999,0.876001773837061,network,medium,running
a0302f08-617d-43ba-a20d-a4cc16eca88d,2/18/2023 11:00,36.8725170660964,40.4366203429215,681.35837773536,223.481082954823,8307,73.1347495552509,0.170683293046931,compute,high,running
39747b5f-4245-402a-a414-130c7c6e699c,2/17/2023 21:54,82.0993229847935,25.5633848635599,118.02428222368,240.687936761939,4086,79.9897235198151,0.732020278554145,network,high,waiting
16c8c2e3-4867-4a20-90d4-380a8838bb3f,5/6/2023 8:26,9.71012757930612,76.5411767930972,381.036747665588,331.518488780007,4547,77.5889870433159,0.212521837724555,network,,running
1419b321-a100-46de-a38d-0a7a14e510e2,1/19/2023 4:41,83.7944907498804,18.781377319853,347.694315239977,395.090687134304,,29.8731522023813,0.361522321776621,network,low,
e498a339-3f0f-4e72-b979-69dc40010f20,1/1/2023 11:30,9.6098407893963,5.84270352827933,195.366921970872,153.257058002523,2617,99.8762716053139,0.458981514145352,network,low,waiting
72eda607-6484-4441-a3f8-354717010bea,,97.6459465013395,26.0686002324288,549.050875999588,22.1688111311402,,87.9654689801025,0.131282695438238,io,high,running
1d3648b9-98c4-4280-97e8-4b3882b9e8db,1/29/2023 3:34,46.8651201647701,,257.221782096353,28.8015939084981,8737,3.84959353642785,0.617356655515296,compute,medium,completed
6515f29e-3770-439e-ad51-c898a2ee4c91,1/8/2023 14:29,97.6761088190337,,334.305573838249,105.053960867223,912,,0.440746338671881,io,low,
bbe26b9c-c5c0-4faa-841c-a693296aed4c,3/11/2023 16:39,60.4845519745046,71.7194086588474,226.888835233097,438.579881522378,5034,9.50869146969165,0.286202642988215,io,high,completed
bb8b7e8e-526a-49c1-af03-6a835af2b954,4/26/2023 14:46,73.9263579398301,,338.638285160672,205.658029033684,110,13.4669218163582,0.147649290315914,compute,,running
,1/14/2023 9:39,3.91877922543206,46.1817197540827,664.615564806482,,5294,72.1317937994822,0.0924040410092349,io,low,running
f8c40a51-3d53-4e27-94c5-f20681892369,1/11/2023 2:02,28.2806962576409,22.5667712932457,29.16695738804,394.801524090792,5677,15.9228338485236,0.98011221044086,,medium,waiting
